"Internet users, total (% of population)"
"21","Luxembourg","22.9","","70.0","","90.6","","90.0","","92.0","","93.8","","94.7","","96.4","","98.1","","97.4","","97.1",""
"162","Madagascar","0.2","","0.6","","1.7","","1.9","","2.3","","3.0","","3.7","","4.2","","4.7","","9.8","","..",""
"172","Malawi","0.1","","0.4","","2.3","","3.3","","4.4","","5.0","","5.8","","5.3","","11.5","","13.8","","..",""
"61","Malaysia","21.4","","48.6","","56.3","","61.0","","65.8","","57.1","","63.7","","71.1","","78.8","","80.1","","81.2",""
"104","Maldives","2.2","","6.9","","26.5","","34.0","","38.9","","44.1","","49.3","","54.5","","59.1","","63.2","","..",""
"184","Mali","0.1","","0.5","","2.0","","2.2","","2.8","","3.5","","7.0","","10.3","","11.1","","13.0","","..",""
"28","Malta","13.1","","41.2","","63.0","","68.0","","68.2","","68.9","","73.2","","76.0","","78.1","","81.0","","81.4",""
"117","Marshall Islands","1.5","","3.9","","7.0","","10.0","","12.5","","14.0","","16.8","","19.3","","29.8","","38.7","","..",""
"161","Mauritania","0.2","","0.7","","4.0","","4.5","","5.0","","6.2","","10.7","","15.2","","18.0","","20.8","","..",""
"66","Mauritius","7.3","","15.2","","28.3","","35.0","","35.4","","40.1","","44.8","","50.1","","52.2","","55.4","","58.6",""
"76","Mexico","5.1","","17.2","","31.1","","37.2","","39.8","","43.5","","44.4","","57.4","","59.5","","63.9","","65.8",""
"107","Moldova (Republic of)","1.3","","14.6","","32.3","","38.0","","43.4","","60.0","","67.0","","69.0","","71.0","","76.1","","..",""
"..","Monaco","42.2","","55.5","","75.0","","80.3","","87.0","","90.7","","92.4","","93.4","","95.2","","97.1","","..",""
"92","Mongolia","1.3","","..","","10.2","","12.5","","16.4","","17.7","","19.9","","22.5","","22.3","","23.7","","..",""
"52","Montenegro","..","","27.1","","37.5","","35.6","","56.8","","60.3","","61.0","","68.1","","69.9","","71.3","","71.5",""
"121","Morocco","0.7","","15.1","","52.0","","46.1","","55.4","","56.0","","56.8","","57.1","","58.3","","61.8","","64.8",""
"180","Mozambique","0.1","","0.9","","4.2","","4.3","","6.0","","7.3","","9.2","","16.9","","17.5","","10.0","","..",""
"145","Myanmar","..","","0.1","","0.3","","1.0","","4.0","","8.0","","11.5","","21.7","","25.1","","30.7","","..",""
"130","Namibia","1.6","","4.0","","11.6","","12.0","","12.9","","13.9","","14.8","","25.7","","31.0","","51.0","","..",""
"..","Nauru","..","","..","","..","","54.0","","..","","..","","..","","..","","..","","57.0","","..",""
"10","Netherlands","44.0","","81.0","","90.7","","91.4","","92.9","","94.0","","91.7","","91.7","","90.4","","93.2","","94.7",""
"14","New Zealand","47.4","","62.7","","80.5","","81.2","","81.6","","82.8","","85.5","","88.2","","88.5","","90.8","","..",""
"126","Nicaragua","1.0","","2.6","","10.0","","10.6","","13.5","","15.5","","17.6","","19.7","","24.6","","27.9","","..",""
"189","Niger","0.0","","0.2","","0.8","","0.9","","1.1","","1.1","","1.2","","2.5","","4.3","","10.2","","5.3",""
"158","Nigeria","0.1","","3.5","","11.5","","13.8","","16.1","","19.1","","21.0","","36.0","","25.7","","42.0","","..",""
"82","North Macedonia","2.5","","26.4","","51.9","","56.7","","57.5","","65.2","","68.1","","70.4","","72.2","","74.5","","79.2",""
"1","Norway","52.0","","82.0","","93.4","","93.5","","94.7","","95.1","","96.3","","96.8","","97.3","","96.4","","96.5",""
"47","Oman","3.5","","6.7","","35.8","","48.0","","60.0","","66.5","","70.2","","73.5","","76.8","","80.2","","..",""
"152","Pakistan","..","","6.3","","8.0","","9.0","","10.0","","10.9","","12.0","","14.0","","12.4","","15.5","","..",""
"119","Palestine, State of","1.1","","16.0","","37.4","","41.1","","43.4","","46.6","","53.7","","57.4","","61.2","","65.2","","64.4",""
"67","Panama","6.6","","11.5","","40.1","","42.7","","40.3","","44.0","","44.9","","51.2","","54.0","","57.9","","..",""
"155","Papua New Guinea","0.8","","1.7","","1.3","","2.0","","3.5","","5.1","","6.5","","7.9","","9.6","","11.2","","..",""
"98","Paraguay","0.7","","7.9","","19.8","","24.8","","29.3","","36.9","","43.0","","49.7","","53.4","","61.1","","65.0",""
"82","Peru","3.1","","17.1","","34.8","","36.0","","38.2","","39.2","","40.2","","40.9","","45.5","","48.7","","52.5",""
"106","Philippines","2.0","","5.4","","25.0","","29.0","","36.2","","48.1","","49.6","","36.0","","55.5","","60.1","","..",""
"32","Poland","7.3","","38.8","","62.3","","62.0","","62.3","","62.8","","66.6","","68.0","","73.3","","76.0","","77.5",""
"40","Portugal","16.4","","35.0","","53.3","","55.3","","60.3","","62.1","","64.6","","68.6","","70.4","","73.8","","74.7",""
"41","Qatar","4.9","","24.7","","69.0","","69.0","","69.3","","85.3","","91.5","","92.9","","95.1","","97.4","","99.7",""
"52","Romania","3.6","","21.5","","39.9","","40.0","","45.9","","49.8","","54.1","","55.8","","59.5","","63.7","","70.7",""
"49","Russian Federation","2.0","","15.2","","43.0","","49.0","","63.8","","68.0","","70.5","","70.1","","73.1","","76.0","","80.9",""
"157","Rwanda","0.1","","0.6","","8.0","","7.0","","8.0","","9.0","","10.6","","18.0","","20.0","","21.8","","..",""
"73","Saint Kitts and Nevis","5.9","","34.0","","63.0","","63.2","","64.0","","64.6","","68.0","","75.7","","76.8","","80.7","","..",""
"89","Saint Lucia","5.1","","21.6","","32.5","","34.0","","34.8","","36.0","","39.7","","42.5","","46.7","","50.8","","..",""
"94","Saint Vincent and the Grenadines","3.2","","9.2","","33.7","","36.7","","40.0","","43.5","","47.4","","17.1","","20.7","","22.0","","22.4",""
"111","Samoa","0.6","","3.4","","7.0","","11.0","","12.9","","15.3","","21.2","","25.4","","29.4","","33.6","","..",""
"..","San Marino","48.8","","50.3","","..","","49.6","","..","","..","","..","","..","","..","","60.2","","..",""
"137","Sao Tome and Principe","4.6","","13.8","","18.8","","20.2","","21.6","","23.0","","24.4","","25.8","","28.0","","29.9","","..",""
"36","Saudi Arabia","2.2","","12.7","","41.0","","47.5","","54.0","","60.5","","64.7","","69.6","","74.9","","82.1","","93.3",""
"166","Senegal","0.4","","4.8","","8.0","","9.8","","10.8","","13.1","","17.7","","27.0","","25.7","","46.0","","..",""
"63","Serbia","..","","26.3","","40.9","","42.2","","48.1","","53.5","","62.1","","65.3","","67.1","","70.3","","73.4",""
"62","Seychelles","7.4","","25.4","","41.0","","43.2","","47.1","","50.4","","51.3","","54.3","","56.5","","58.8","","..",""
"181","Sierra Leone","0.1","","0.2","","0.6","","0.9","","2.5","","4.0","","6.1","","6.3","","11.8","","9.0","","..",""
"9","Singapore","36.0","","61.0","","71.0","","71.0","","72.0","","80.9","","79.0","","79.0","","84.5","","84.5","","88.2",""
"36","Slovakia","9.4","","55.2","","75.7","","74.4","","76.7","","77.9","","80.0","","77.6","","80.5","","81.6","","80.7",""
"24","Slovenia","15.1","","46.8","","70.0","","67.3","","68.3","","72.7","","71.6","","73.1","","75.5","","78.9","","79.8",""
"153","Solomon Islands","0.5","","0.8","","5.0","","6.0","","7.0","","8.0","","9.0","","10.0","","11.0","","11.9","","..",""
"..","Somalia","0.0","","1.1","","..","","1.3","","1.4","","1.5","","1.6","","1.8","","1.9","","2.0","","..",""
"113","South Africa","5.3","","7.5","","24.0","","34.0","","41.0","","46.5","","49.0","","51.9","","54.0","","56.2","","..",""
"186","South Sudan","..","","..","","..","","..","","..","","3.8","","4.5","","5.5","","6.7","","8.0","","..",""
"25","Spain","13.6","","47.9","","65.8","","67.1","","69.8","","71.6","","76.2","","78.7","","80.6","","84.6","","86.1",""
"71","Sri Lanka","0.6","","1.8","","12.0","","15.0","","18.3","","21.9","","25.8","","12.1","","16.4","","34.1","","..",""
"168","Sudan","0.0","","1.3","","16.7","","17.5","","21.0","","22.7","","24.6","","26.6","","14.1","","30.9","","..",""
"98","Suriname","2.5","","6.4","","31.6","","32.0","","34.7","","37.4","","40.1","","42.8","","45.4","","48.9","","..",""
